Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,class_weight,epochs,initial_epoch,max_queue_size,opt_amsgrad,opt_beta_1,opt_beta_2,opt_decay,opt_epsilon,opt_learning_rate,opt_name,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,Test Accuracy,accuracy,loss,val_accuracy,val_loss
2022-05-04 21:26:21,,2ba9ceff6d134a3b8c7841e4156cf721,Run_3,LOCAL,c:\Miniconda\envs\py38_default\lib\site-packages\ipykernel_launcher.py,abhishekvm325,RUNNING,32,None,5,0,10,False,0.9,0.999,0.0008,1e-07,0.002,Adam,None,True,None,False,None,1,0.0,None,1,98.147,0.9977774620056152,0.007680213078856468,0.9977046847343445,0.009247677400708199
2022-05-04 21:09:38,15.4min,f4d58d5971dc4f42a585b6e7f98be9f6,Run_2,LOCAL,c:\Miniconda\envs\py38_default\lib\site-packages\ipykernel_launcher.py,abhishekvm325,FINISHED,32,None,5,0,10,False,0.9,0.999,0.0008,1e-07,0.002,Adam,None,True,None,False,None,1,0.0,None,1,96.849,0.9990891218185425,0.004042876418679953,0.9965144991874695,0.013024652376770973
2022-05-04 19:55:48,25.5min,19ea0f537d8a4bc88326371e205b71c1,Run_1,LOCAL,c:\Miniconda\envs\py38_default\lib\site-packages\ipykernel_launcher.py,abhishekvm325,FINISHED,32,None,5,0,10,False,0.9,0.999,0.0008,1e-07,0.002,Adam,None,True,None,False,None,1,0.0,None,1,97.609,0.9980689287185669,0.006059850100427866,0.9969395399093628,0.011818786151707172
